,Artist,Song Name,Id,Release Date,Popularity,Genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
7,Girls Generation,Oh!,6VOG2ROMCklbn6SSg9mA9H,2010-01-28,57,"['k-pop', 'k-pop girl group']",0.759,0.966,2,-2.207,0,0.0416,0.0218,1.03e-05,0.229,0.44,143.987,audio_features,6VOG2ROMCklbn6SSg9mA9H,spotify:track:6VOG2ROMCklbn6SSg9mA9H,https://api.spotify.com/v1/tracks/6VOG2ROMCklbn6SSg9mA9H,https://api.spotify.com/v1/audio-analysis/6VOG2ROMCklbn6SSg9mA9H,188533,4
22,Super Junior,Black Suit,0cCm1PbOd6nqAPDdA3PRfs,2017-11-06,56,"['k-pop', 'k-pop boy group']",0.711,0.885,5,-3.299,0,0.0477,0.0044,0.0,0.207,0.866,121.978,audio_features,0cCm1PbOd6nqAPDdA3PRfs,spotify:track:0cCm1PbOd6nqAPDdA3PRfs,https://api.spotify.com/v1/tracks/0cCm1PbOd6nqAPDdA3PRfs,https://api.spotify.com/v1/audio-analysis/0cCm1PbOd6nqAPDdA3PRfs,201112,4
24,Super Junior,Mamacita (아야야),23z7nLq4CD83EyzeeIokkt,2014-08-29,56,"['k-pop', 'k-pop boy group']",0.716,0.928,7,-0.005,1,0.084,0.0777,0.0,0.0702,0.697,101.564,audio_features,23z7nLq4CD83EyzeeIokkt,spotify:track:23z7nLq4CD83EyzeeIokkt,https://api.spotify.com/v1/tracks/23z7nLq4CD83EyzeeIokkt,https://api.spotify.com/v1/audio-analysis/23z7nLq4CD83EyzeeIokkt,207744,4
5,Girls Generation,Genie,6kN3vvzDiVZP2hiPA0ApMd,2010-01-28,56,"['k-pop', 'k-pop girl group']",0.762,0.84,9,-2.603,1,0.116,0.12,4.78e-06,0.714,0.719,123.006,audio_features,6kN3vvzDiVZP2hiPA0ApMd,spotify:track:6kN3vvzDiVZP2hiPA0ApMd,https://api.spotify.com/v1/tracks/6kN3vvzDiVZP2hiPA0ApMd,https://api.spotify.com/v1/audio-analysis/6kN3vvzDiVZP2hiPA0ApMd,229253,4
35,Apink,%%(Eung Eung),4SpQDJz1JiRT2mHxvyqN9K,2019-01-07,56,"['k-pop', 'k-pop girl group']",0.647,0.855,5,-2.944,0,0.037,0.294,0.0,0.137,0.683,144.867,audio_features,4SpQDJz1JiRT2mHxvyqN9K,spotify:track:4SpQDJz1JiRT2mHxvyqN9K,https://api.spotify.com/v1/tracks/4SpQDJz1JiRT2mHxvyqN9K,https://api.spotify.com/v1/audio-analysis/4SpQDJz1JiRT2mHxvyqN9K,208105,4
36,Apink,Dilemma,3j0x2BUUtm2obQXS1lZuN3,2022-02-14,54,"['k-pop', 'k-pop girl group']",0.647,0.845,5,-4.084,0,0.0618,0.0438,0.0,0.108,0.432,130.04,audio_features,3j0x2BUUtm2obQXS1lZuN3,spotify:track:3j0x2BUUtm2obQXS1lZuN3,https://api.spotify.com/v1/tracks/3j0x2BUUtm2obQXS1lZuN3,https://api.spotify.com/v1/audio-analysis/3j0x2BUUtm2obQXS1lZuN3,209207,4
25,Super Junior,미인아 Bonamana,2cRTwcRq1idIR9NrcYKb63,2010-05-13,54,"['k-pop', 'k-pop boy group']",0.79,0.911,11,-1.756,0,0.074,0.000444,0.0145,0.101,0.876,125.012,audio_features,2cRTwcRq1idIR9NrcYKb63,spotify:track:2cRTwcRq1idIR9NrcYKb63,https://api.spotify.com/v1/tracks/2cRTwcRq1idIR9NrcYKb63,https://api.spotify.com/v1/audio-analysis/2cRTwcRq1idIR9NrcYKb63,239187,4
28,Super Junior,너라고 It's You,2TG8kKgwsyyZU8lZIH6SZ1,2009-05-14,54,"['k-pop', 'k-pop boy group']",0.752,0.934,7,-3.541,0,0.0361,0.092,8.8e-06,0.14,0.668,119.996,audio_features,2TG8kKgwsyyZU8lZIH6SZ1,spotify:track:2TG8kKgwsyyZU8lZIH6SZ1,https://api.spotify.com/v1/tracks/2TG8kKgwsyyZU8lZIH6SZ1,https://api.spotify.com/v1/audio-analysis/2TG8kKgwsyyZU8lZIH6SZ1,231493,4
27,Super Junior,너 같은 사람 또 없어 No Other,6lTB8MISIFcEI4Rspwn4LV,2010-06-25,54,"['k-pop', 'k-pop boy group']",0.643,0.924,11,-2.278,1,0.0725,0.158,0.0,0.354,0.829,152.027,audio_features,6lTB8MISIFcEI4Rspwn4LV,spotify:track:6lTB8MISIFcEI4Rspwn4LV,https://api.spotify.com/v1/tracks/6lTB8MISIFcEI4Rspwn4LV,https://api.spotify.com/v1/audio-analysis/6lTB8MISIFcEI4Rspwn4LV,256773,4
26,Super Junior,Devil,3IQ9FJ2cMVQtger5ZhgCaj,2015-07-16,54,"['k-pop', 'k-pop boy group']",0.773,0.865,4,-3.027,0,0.114,0.133,0.0,0.052,0.968,145.003,audio_features,3IQ9FJ2cMVQtger5ZhgCaj,spotify:track:3IQ9FJ2cMVQtger5ZhgCaj,https://api.spotify.com/v1/tracks/3IQ9FJ2cMVQtger5ZhgCaj,https://api.spotify.com/v1/audio-analysis/3IQ9FJ2cMVQtger5ZhgCaj,216585,4
37,Apink,LUV,7EZ79Zl4XsPS320q0KXC6E,2014-11-24,53,"['k-pop', 'k-pop girl group']",0.735,0.911,6,-3.282,0,0.0437,0.0511,0.0,0.074,0.685,103.978,audio_features,7EZ79Zl4XsPS320q0KXC6E,spotify:track:7EZ79Zl4XsPS320q0KXC6E,https://api.spotify.com/v1/tracks/7EZ79Zl4XsPS320q0KXC6E,https://api.spotify.com/v1/audio-analysis/7EZ79Zl4XsPS320q0KXC6E,238920,4
29,Super Junior,One More Time (Otra Vez),1Zz7lQOhWPYh8dNQCwVkdG,2018-10-08,51,"['k-pop', 'k-pop boy group']",0.685,0.841,5,-3.975,1,0.0327,0.0408,5.28e-05,0.274,0.486,99.981,audio_features,1Zz7lQOhWPYh8dNQCwVkdG,spotify:track:1Zz7lQOhWPYh8dNQCwVkdG,https://api.spotify.com/v1/tracks/1Zz7lQOhWPYh8dNQCwVkdG,https://api.spotify.com/v1/audio-analysis/1Zz7lQOhWPYh8dNQCwVkdG,186468,4
38,Apink,I don't Know,5DM5iNhImOgjBW3c5OgYLn,2011-04-19,49,"['k-pop', 'k-pop girl group']",0.627,0.841,5,-3.398,0,0.0287,0.0708,0.0,0.128,0.274,132.052,audio_features,5DM5iNhImOgjBW3c5OgYLn,spotify:track:5DM5iNhImOgjBW3c5OgYLn,https://api.spotify.com/v1/tracks/5DM5iNhImOgjBW3c5OgYLn,https://api.spotify.com/v1/audio-analysis/5DM5iNhImOgjBW3c5OgYLn,224160,4
39,Apink,My My,7lrLDy8ZYL5KLx2Z9GZTaP,2011-11-22,48,"['k-pop', 'k-pop girl group']",0.68,0.949,5,-2.836,0,0.039,0.0151,3.62e-05,0.0433,0.555,107.988,audio_features,7lrLDy8ZYL5KLx2Z9GZTaP,spotify:track:7lrLDy8ZYL5KLx2Z9GZTaP,https://api.spotify.com/v1/tracks/7lrLDy8ZYL5KLx2Z9GZTaP,https://api.spotify.com/v1/audio-analysis/7lrLDy8ZYL5KLx2Z9GZTaP,234967,4
