,Artist,Song Name,Id,Release Date,Popularity,Genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
67,TWICE,I CAN'T STOP ME,37ZtpRBkHcaq6hHy0X98zn,2020-10-26,77,"['k-pop', 'k-pop girl group', 'pop']",0.657,0.88,10,-3.672,0,0.102,0.121,0.0,0.463,0.769,150.084,audio_features,37ZtpRBkHcaq6hHy0X98zn,spotify:track:37ZtpRBkHcaq6hHy0X98zn,https://api.spotify.com/v1/tracks/37ZtpRBkHcaq6hHy0X98zn,https://api.spotify.com/v1/audio-analysis/37ZtpRBkHcaq6hHy0X98zn,205493,4
56,SEVENTEEN,_WORLD,3QwiidVHfeE9y5jl4n2MTC,2022-07-18,76,"['k-pop', 'k-pop boy group']",0.709,0.809,2,-3.198,0,0.0541,0.312,0.0,0.0899,0.788,111.01,audio_features,3QwiidVHfeE9y5jl4n2MTC,spotify:track:3QwiidVHfeE9y5jl4n2MTC,https://api.spotify.com/v1/tracks/3QwiidVHfeE9y5jl4n2MTC,https://api.spotify.com/v1/audio-analysis/3QwiidVHfeE9y5jl4n2MTC,178453,4
55,SEVENTEEN,I Don't Understand But I Luv U,3acGHJqr9xU1cnCEfLX1Lx,2023-04-24,76,"['k-pop', 'k-pop boy group']",0.651,0.786,5,-3.438,0,0.0381,0.296,0.0,0.296,0.576,114.04,audio_features,3acGHJqr9xU1cnCEfLX1Lx,spotify:track:3acGHJqr9xU1cnCEfLX1Lx,https://api.spotify.com/v1/tracks/3acGHJqr9xU1cnCEfLX1Lx,https://api.spotify.com/v1/audio-analysis/3acGHJqr9xU1cnCEfLX1Lx,209800,4
69,TWICE,CRY FOR ME,2xtP8RNbo2BEMzLX7tK7aq,2020-12-18,75,"['k-pop', 'k-pop girl group', 'pop']",0.702,0.692,10,-5.405,1,0.0539,0.0542,0.0,0.0877,0.419,144.896,audio_features,2xtP8RNbo2BEMzLX7tK7aq,spotify:track:2xtP8RNbo2BEMzLX7tK7aq,https://api.spotify.com/v1/tracks/2xtP8RNbo2BEMzLX7tK7aq,https://api.spotify.com/v1/audio-analysis/2xtP8RNbo2BEMzLX7tK7aq,204168,4
68,TWICE,Feel Special,3Hz3tTQwOdM6XkA0ALB2G9,2019-09-23,75,"['k-pop', 'k-pop girl group', 'pop']",0.708,0.959,1,-1.338,1,0.0604,0.0296,0.00188,0.107,0.644,128.981,audio_features,3Hz3tTQwOdM6XkA0ALB2G9,spotify:track:3Hz3tTQwOdM6XkA0ALB2G9,https://api.spotify.com/v1/tracks/3Hz3tTQwOdM6XkA0ALB2G9,https://api.spotify.com/v1/audio-analysis/3Hz3tTQwOdM6XkA0ALB2G9,206867,4
60,TWICE,MOONLIGHT SUNRISE,5IN9W6eUfk3014My9awagX,2023-03-10,75,"['k-pop', 'k-pop girl group', 'pop']",0.746,0.78,1,-3.279,1,0.0563,0.401,4.08e-06,0.0895,0.607,125.089,audio_features,5IN9W6eUfk3014My9awagX,spotify:track:5IN9W6eUfk3014My9awagX,https://api.spotify.com/v1/tracks/5IN9W6eUfk3014My9awagX,https://api.spotify.com/v1/audio-analysis/5IN9W6eUfk3014My9awagX,180320,4
57,SEVENTEEN,VERY NICE,1Rrj7KyS2R6SP9CQMDJW1w,2016-07-04,75,"['k-pop', 'k-pop boy group']",0.746,0.898,3,-2.818,0,0.0725,0.0526,0.0,0.0858,0.879,121.967,audio_features,1Rrj7KyS2R6SP9CQMDJW1w,spotify:track:1Rrj7KyS2R6SP9CQMDJW1w,https://api.spotify.com/v1/tracks/1Rrj7KyS2R6SP9CQMDJW1w,https://api.spotify.com/v1/audio-analysis/1Rrj7KyS2R6SP9CQMDJW1w,192093,4
58,SEVENTEEN,CHEERS,1pdFdv8R6ezIAUUNkn785b,2022-07-18,74,"['k-pop', 'k-pop boy group']",0.74,0.848,2,-4.697,1,0.097,0.306,0.0,0.193,0.881,159.991,audio_features,1pdFdv8R6ezIAUUNkn785b,spotify:track:1pdFdv8R6ezIAUUNkn785b,https://api.spotify.com/v1/tracks/1pdFdv8R6ezIAUUNkn785b,https://api.spotify.com/v1/audio-analysis/1pdFdv8R6ezIAUUNkn785b,181467,4
52,SEVENTEEN,Darl+ing,2j1Es5qEl4pD8GEe2WsYgP,2022-05-27,74,"['k-pop', 'k-pop boy group']",0.519,0.695,0,-4.861,1,0.0812,0.299,0.0,0.43,0.515,95.384,audio_features,2j1Es5qEl4pD8GEe2WsYgP,spotify:track:2j1Es5qEl4pD8GEe2WsYgP,https://api.spotify.com/v1/tracks/2j1Es5qEl4pD8GEe2WsYgP,https://api.spotify.com/v1/audio-analysis/2j1Es5qEl4pD8GEe2WsYgP,176560,4
59,SEVENTEEN,Don't Wanna Cry,6Upu6yjkdi0DVI8E3IBZEU,2017-05-22,73,"['k-pop', 'k-pop boy group']",0.781,0.683,0,-4.258,1,0.0325,0.164,1.53e-06,0.16,0.722,100.005,audio_features,6Upu6yjkdi0DVI8E3IBZEU,spotify:track:6Upu6yjkdi0DVI8E3IBZEU,https://api.spotify.com/v1/tracks/6Upu6yjkdi0DVI8E3IBZEU,https://api.spotify.com/v1/audio-analysis/6Upu6yjkdi0DVI8E3IBZEU,203427,4
73,EXO,The Eve,2ujA6F1cpk3m8lsPE5aKua,2017-07-18,72,"['k-pop', 'k-pop boy group']",0.636,0.702,0,-5.352,0,0.0334,0.0223,0.0,0.293,0.516,135.104,audio_features,2ujA6F1cpk3m8lsPE5aKua,spotify:track:2ujA6F1cpk3m8lsPE5aKua,https://api.spotify.com/v1/tracks/2ujA6F1cpk3m8lsPE5aKua,https://api.spotify.com/v1/audio-analysis/2ujA6F1cpk3m8lsPE5aKua,176026,4
74,EXO,Monster,7GbUWl6qLW1gdngbEV2WDJ,2016-06-09,72,"['k-pop', 'k-pop boy group']",0.618,0.76,6,-4.312,1,0.0596,0.0066,0.0,0.127,0.541,150.0,audio_features,7GbUWl6qLW1gdngbEV2WDJ,spotify:track:7GbUWl6qLW1gdngbEV2WDJ,https://api.spotify.com/v1/tracks/7GbUWl6qLW1gdngbEV2WDJ,https://api.spotify.com/v1/audio-analysis/7GbUWl6qLW1gdngbEV2WDJ,221341,4
75,EXO,CALL ME BABY,6Rx0ORYPP3GH9rTvGS5Vy8,2015-03-30,71,"['k-pop', 'k-pop boy group']",0.692,0.886,1,-2.519,1,0.0519,0.284,0.0,0.341,0.879,100.03,audio_features,6Rx0ORYPP3GH9rTvGS5Vy8,spotify:track:6Rx0ORYPP3GH9rTvGS5Vy8,https://api.spotify.com/v1/tracks/6Rx0ORYPP3GH9rTvGS5Vy8,https://api.spotify.com/v1/audio-analysis/6Rx0ORYPP3GH9rTvGS5Vy8,211013,4
76,EXO,LOVE ME RIGHT,1kFevEv3s7Gf6o5xSDR5DL,2015-06-03,70,"['k-pop', 'k-pop boy group']",0.625,0.83,0,-2.33,1,0.0764,0.00266,0.0,0.188,0.757,110.04,audio_features,1kFevEv3s7Gf6o5xSDR5DL,spotify:track:1kFevEv3s7Gf6o5xSDR5DL,https://api.spotify.com/v1/tracks/1kFevEv3s7Gf6o5xSDR5DL,https://api.spotify.com/v1/audio-analysis/1kFevEv3s7Gf6o5xSDR5DL,205129,4
77,EXO,Lotto,6ukWoX4AHV76JdYVdKRPk8,2016-08-18,70,"['k-pop', 'k-pop boy group']",0.798,0.867,11,-3.207,0,0.0386,0.0618,0.0,0.193,0.702,99.996,audio_features,6ukWoX4AHV76JdYVdKRPk8,spotify:track:6ukWoX4AHV76JdYVdKRPk8,https://api.spotify.com/v1/tracks/6ukWoX4AHV76JdYVdKRPk8,https://api.spotify.com/v1/audio-analysis/6ukWoX4AHV76JdYVdKRPk8,189775,4
78,EXO,Ko Ko Bop,5EzitieoPnjyKHAq0gfRMa,2017-07-18,69,"['k-pop', 'k-pop boy group']",0.749,0.85,0,-4.346,1,0.0468,0.0319,4.81e-05,0.0678,0.672,145.983,audio_features,5EzitieoPnjyKHAq0gfRMa,spotify:track:5EzitieoPnjyKHAq0gfRMa,https://api.spotify.com/v1/tracks/5EzitieoPnjyKHAq0gfRMa,https://api.spotify.com/v1/audio-analysis/5EzitieoPnjyKHAq0gfRMa,190423,4
79,EXO,Tempo,4EjUFjzi4ErWjklOA3Aslu,2018-11-02,67,"['k-pop', 'k-pop boy group']",0.686,0.842,0,-4.423,1,0.1,0.237,0.0,0.0683,0.519,115.944,audio_features,4EjUFjzi4ErWjklOA3Aslu,spotify:track:4EjUFjzi4ErWjklOA3Aslu,https://api.spotify.com/v1/tracks/4EjUFjzi4ErWjklOA3Aslu,https://api.spotify.com/v1/audio-analysis/4EjUFjzi4ErWjklOA3Aslu,224483,4
